transaction_id,product_id,quantity,price,timestamp
T0000,P007,5.0,,2024-10-06
T0001,P015,8.0,,2024-11-04
T0002,P011,5.0,47.56,10/13/2024
T0003, P 008 ,8.0,37.6,10/28/2024
T0004,p007,7.0,40.84,28-10-2024
T0005,p019,9.0,26.92,30-10-2024
T0006,P011,3.0,37.47,13-10-2024
T0007,P-011,5.0,16.5,2024-10-09
T0008,P-004,7.0,29.39,10/18/2024
T0009,P-008,6.0,12.41,01-11-2024
T0010, P 003 ,8.0,5.54,10/12/2024
T0011,P002,4.0,22.27,25-10-2024
T0012, P 012 ,5.0,12.17,2024-10-16
T0013,p006,7.0,28.75,12-10-2024
T0014, P 002 ,3.0,37.65,10/10/2024
T0015, P 001 ,9.0,11.46,2024-10-20
T0016,P012,,14.75,2024-10-06
T0017,P012,2.0,$22.01,2024-10-24
T0018,P-017,8.0,34.54,11/01/2024
T0019,p010,6.0,46.5,10/27/2024
T0020, P 016 ,8.0,32.96,04-11-2024
T0021, P 015 ,6.0,$44.27,30-10-2024
T0022,P015,7.0,47.36,2024-11-04
T0023,P019,1.0,5.84,08-10-2024
T0024,P012,4.0,23.19,10/14/2024
T0025,P003,9.0,30.48,2024-10-16
T0026,P-005,9.0,46.32,2024-10-12
T0027,p019,8.0,6.4,2024-10-07
T0028,P007,7.0,6.92,2024-10-28
T0029,P-009,4.0,40.25,23-10-2024
T0030,P-007,,,10/11/2024
T0031,p018,9.0,12.21,10/13/2024
T0032,P-004,4.0,28.74,2024-10-07
T0033,p014,,34.75,10/09/2024
T0034, P 018 ,6.0,9.08,2024-10-07
T0035,p009,2.0,11.15,10/12/2024
T0036,P002,9.0,20.07,2024-10-07
T0037,P015,2.0,34.01,2024-10-09
T0038,p007,9.0,28.37,17-10-2024
T0039, P 012 ,1.0,,10-10-2024
T0040,P008,7.0,18.31,10/16/2024
T0041,p015,9.0,$19.35,2024-11-01
T0042,P-003,3.0,34.32,10/14/2024
T0043, P 014 ,3.0,27.69,29-10-2024
T0044, P 017 ,,43.91,11-10-2024
T0045,p004,5.0,18.62,10/06/2024
T0046, P 018 ,1.0,13.46,2024-10-10
T0047,P-008,3.0,$21.48,14-10-2024
T0048, P 004 ,5.0,49.02,10/18/2024
T0049,P-002,7.0,5.24,26-10-2024
T0050,P006,8.0,$38.85,10/10/2024
T0051,p010,6.0,10.0,10/13/2024
T0052,P004,9.0,33.17,21-10-2024
T0053,P-018,4.0,31.13,2024-10-23
T0054, P 012 ,,$28.23,10-10-2024
T0055,p002,1.0,15.6,10/06/2024
T0056,P010,3.0,41.88,11-10-2024
T0057,p004,,,2024-10-12
T0058,P-014,5.0,11.4,2024-10-16
T0059,P-016,,5.57,18-10-2024
T0060, P 015 ,2.0,$29.2,10/12/2024
T0061, P 008 ,2.0,21.99,14-10-2024
T0062,P014,9.0,46.54,2024-10-24
T0063,p008,7.0,16.91,21-10-2024
T0064,p016,6.0,$23.31,28-10-2024
T0065,p013,6.0,14.7,2024-10-25
T0066,P-018,6.0,47.93,2024-10-11
T0067,P015,3.0,24.52,02-11-2024
T0068,P-013,,32.18,2024-10-12
T0069,p009,8.0,,2024-10-22
T0070,P015,5.0,20.77,10/10/2024
T0071, P 013 ,9.0,37.32,10/28/2024
T0072,P-001,2.0,28.54,10/15/2024
T0073,P007,7.0,20.57,2024-10-30
T0074,P009,5.0,36.95,15-10-2024
T0075, P 001 ,,39.66,14-10-2024
T0076,P012,2.0,9.59,2024-11-04
T0077,P-008,4.0,24.68,10-10-2024
T0078,p011,7.0,$32.74,26-10-2024
T0079,P019,2.0,22.15,10-10-2024
T0080,P017,6.0,$23.9,11/03/2024
T0081, P 008 ,5.0,28.55,10/28/2024
T0082,P003,,25.28,2024-10-22
T0083,P003,3.0,48.93,2024-11-04
T0084,P-001,7.0,5.85,11-10-2024
T0085,P005,,13.8,2024-10-29
T0086,p010,4.0,36.15,04-11-2024
T0087,p007,3.0,,06-10-2024
T0088, P 009 ,3.0,13.22,31-10-2024
T0089,p007,3.0,37.99,2024-10-18
T0090,P009,,42.87,2024-10-06
T0091, P 008 ,1.0,15.12,2024-10-09
T0092,P-012,3.0,36.5,2024-10-08
T0093,p002,6.0,29.9,10/19/2024
T0094,P-001,7.0,$37.19,10/19/2024
T0095,p016,8.0,25.36,06-10-2024
T0096,P-005,2.0,14.59,2024-10-23
T0097, P 003 ,6.0,6.61,15-10-2024
T0098,p012,3.0,34.16,01-11-2024
T0099,P008,8.0,30.63,10/15/2024
T0100,p003,3.0,37.08,2024-10-14
T0101,P001,9.0,,2024-10-20
T0102,p003,6.0,21.95,10/19/2024
T0103,P-005,6.0,$15.85,10/18/2024
T0104,p015,6.0,43.79,03-11-2024
T0105, P 014 ,8.0,39.06,15-10-2024
T0106,p003,2.0,16.59,24-10-2024
T0107,P001,5.0,26.54,26-10-2024
T0108,P-005,3.0,8.24,27-10-2024
T0109, P 014 ,1.0,7.61,13-10-2024
T0110,p007,,13.77,10-10-2024
T0111,P009,4.0,17.93,01-11-2024
T0112,P-015,5.0,10.95,21-10-2024
T0113, P 015 ,,7.33,15-10-2024
T0114,P010,3.0,$35.72,2024-10-09
T0115, P 013 ,4.0,,2024-10-13
T0116,p019,8.0,7.63,06-10-2024
T0117, P 007 ,8.0,21.76,2024-10-26
T0118, P 017 ,8.0,,2024-10-27
